Name,"Base 
Currency",Ticker,ISIN,"Global Broad 
Category Group","Global 
Category",Morningstar Category,"Morningstar 
Institutional Category","Morningstar 
Rating 
Overall",US Category Group,Domicile,Fund Legal Structure,"Equity 
Style Box (Long)","Fixed Inc 
Style Box (Long)",Firm Name,Branding Name,"Inception 
Date",Manager Name,Manager History,Manager Ownership Level,"Manager 
Tenure 
(Longest)","Manager 
Tenure 
(Average)","Primary Prospectus 
Benchmark","Primary Prospectus 
Benchmark Id","Primary Prospectus 
Benchmark Inception Date","Net Assets 
Date",Net Assets-Share Class USD,"Fund Size 
Date","Fund Size 
USD","Holding of 
an Investment","Oldest 
Share Class","12 Mo 
Yield Date","12 Mo 
Yield","Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,"Latest 
Capital Gain 
Date","Latest 
Capital Gain 
USD","Portfolio 
Date","Return Date 
(Daily)","NAV (Daily) 
USD","Total Ret 
1 Day 
(Daily) 
USD","Total Ret 
YTD 
(Daily) 
USD","Total Ret 
1 Yr 
(Daily) 
USD","Total Ret 
Annlzd 2 Yr 
(Daily) 
USD","Total Ret 
Annlzd 3 Yr 
(Daily) 
USD","Total Ret 
Annlzd 5 Yr 
(Daily) 
USD","Annual Report 
Net Expense 
Ratio","Annual Report 
Ongoing Charge","Annual Report 
Ongoing Charge 
Date","Annual Report 
Gross Expense 
Ratio","Prospectus 
Objective",Turnover Ratio % Date,"Turnover 
Ratio %",SecId,PerformanceId,FundId,StrategyId,StrategyId,CUSIP,Investment Type,"Performance 
Data Ready","Price 
Data Ready","Operations 
Data Ready","Portfolio 
Data Ready","Note Effective 
Date","Primary Share 
in Market","Target Date 
Report Date","Equity Profile 
Report Date",Annual Report Adjusted Expense Ratio,Prospectus Adjusted Expense Ratio,Submarket
JHancock Equity Income A,US Dollar,JHEIX,US47805A6910,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,John Hancock,John Hancock,3/27/2015,John D. Linehan,[2015-11-01 -- ] John D. Linehan;[2005-10-14 -- 2015-10-31] Brian C. Rogers;,"John D. Linehan [$1,000,001 and above]",6,6,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"94,529,240.00",11/5/2021,"2,273,432,589.00",No,No,10/31/2021,1.29,9/30/2021,0.08,,12/18/2020,0.11,8/31/2021,11/5/2021,22.86,,,,,,,1.11,,,1.14,Equity-Income,8/31/2021,22,F00000V9PG,0P00015A37,FSUSA06G79,STUSA0658D,STUSA0658D,47805A691,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.11,1.14,
JHancock Equity Income C,US Dollar,JHERX,US47805A3602,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,John Hancock,John Hancock,3/27/2015,John D. Linehan,[2015-11-01 -- ] John D. Linehan;[2005-10-14 -- 2015-10-31] Brian C. Rogers;,"John D. Linehan [$1,000,001 and above]",6,6,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"2,349,890.00",11/5/2021,"2,273,432,589.00",No,No,10/31/2021,0.66,9/23/2021,0.04,,12/18/2020,0.11,8/31/2021,11/5/2021,22.93,,,,,,,1.81,,,1.84,Equity-Income,8/31/2021,22,F00000V9PH,0P00015A38,FSUSA06G79,STUSA0658D,STUSA0658D,47805A360,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.81,1.85,
JNL/DoubleLine? Shiller Enhanced CAPE? A,US Dollar,,US46644W1045,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,5,U.S. Equity,United States,Open Ended Investment Company,,Low Limited,Jackson National,Jackson National,9/28/2015,Jeffrey E. Gundlach;Jeffrey J. Sherman;,[2015-09-28 -- ] Jeffrey E. Gundlach;[2015-09-28 -- ] Jeffrey J. Sherman;,Jeffrey E. Gundlach [$0 - None];Jeffrey J. Sherman [$0 - None];,6.17,6.17,Shiller Barclays CAPE US Sect II ER USD,,,11/5/2021,"2,174,456,292.00",11/5/2021,"2,817,893,458.00",Yes,Yes,10/31/2021,0,10/30/2018,0.12,,10/30/2018,1.87,9/30/2021,11/5/2021,23.47,,,,,,,1.01,,,1.01,Growth and Income,12/31/2020,71,F00000VXSN,0P000167JC,FS0000BXV8,STUSA05LO7,STUSA05LO7,46644W104,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.01,1.02,
JNL/DoubleLine? Shiller Enhanced CAPE? I,US Dollar,,US46644W6333,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,5,U.S. Equity,United States,Open Ended Investment Company,,Low Limited,Jackson National,Jackson National,9/25/2017,Jeffrey E. Gundlach;Jeffrey J. Sherman;,[2015-09-28 -- ] Jeffrey E. Gundlach;[2015-09-28 -- ] Jeffrey J. Sherman;,Jeffrey E. Gundlach [$0 - None];Jeffrey J. Sherman [$0 - None];,6.17,6.17,Shiller Barclays CAPE US Sect II ER USD,,,11/5/2021,"643,437,166.00",11/5/2021,"2,817,893,458.00",Yes,No,10/31/2021,0,10/30/2018,0.16,,10/30/2018,1.87,9/30/2021,11/5/2021,23.72,,,,,,,0.71,,,0.71,Growth and Income,12/31/2020,71,F00000VXSO,0P000167JD,FS0000BXV8,STUSA05LO7,STUSA05LO7,46644W633,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.71,0.72,
JNL/Goldman Sachs 4 I,US Dollar,,US46648L7249,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Jackson National,Jackson National,9/25/2017,Nicholas Chan;Marlene Walker-Smith;Marcus Ng;David France;Todd Frysinger;Vlasta Sheremeta;Michael Stoll;,[2021-04-26 -- 2021-06-30] Thomas J. Durante;[2021-04-26 -- ] Nicholas Chan;[2007-12-03 -- 2008-03-31] William V. Simon;[2007-12-03 -- 2010-10-17] Daniel W. Koors;[2008-10-06 -- 2010-10-17] Lynn M. Mouser;[2010-10-18 -- 2012-05-29] Saumen Chattopadhyay;[2012-05-29 -- 2012-10-31] Steven B. Young;[2014-04-28 -- 2021-04-26] Sean Hynes;[2021-04-26 -- ] Marlene Walker-Smith;[2012-05-29 -- 2012-10-31] Mark Pliska;[2014-04-28 -- 2021-04-26] Mark Pliska;[2012-05-29 -- 2012-10-31] Deepesh Srivastava;[2012-11-01 -- 2021-04-26] William Harding;[2021-04-26 -- ] Marcus Ng;[2021-04-26 -- ] David France;[2021-04-26 -- ] Todd Frysinger;[2021-04-26 -- ] Vlasta Sheremeta;[2021-04-26 -- ] Michael Stoll;,Nicholas Chan [$0 - None];Marlene Walker-Smith [$0 - None];Marcus Ng [$0 - None];David France [$0 - None];Todd Frysinger [$0 - None];Vlasta Sheremeta [$0 - None];Michael Stoll [$0 - None];,0.58,0.58,S&P 500 TR USD,XIUSA04G92,1/30/1970,11/5/2021,"28,820,796.00",11/5/2021,"6,469,194,734.00",Yes,No,10/31/2021,0,,,,,,9/30/2021,11/5/2021,33.34,,,,,,,0.05,,,0.05,Growth,12/31/2020,0,F00000Z29U,0P0001AML4,FSUSA08IQA,STUSA05OMC,STUSA05OMC,46648L724,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.05,0.39,
JNL/Invesco Diversified Dividend A,US Dollar,,US46648M2504,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Jackson National,Jackson National,9/25/2017,Peter Santoro;Robert Botard;Christopher McMeans;Caroline Le Feuvre;,[2017-09-25 -- 2021-06-30] Meggan M. Walsh;[2021-03-24 -- ] Peter Santoro;[2017-09-25 -- ] Robert Botard;[2017-09-25 -- 2020-06-29] Kristina Bradshaw;[2017-09-25 -- ] Christopher McMeans;[2020-06-29 -- ] Caroline Le Feuvre;,Peter Santoro [$0 - None];Robert Botard [$0 - None];Christopher McMeans [$0 - None];Caroline Le Feuvre [$0 - None];,4.17,2.6,MSCI USA Value GR USD,XIUSA04FKP,12/31/1997,11/5/2021,"174,079,857.00",11/5/2021,"1,052,940,266.00",Yes,No,10/31/2021,0,10/29/2019,0.23,,10/29/2019,0.06,9/30/2021,11/5/2021,13.66,,,,,,,0.98,,,0.98,Equity-Income,12/31/2020,9,F00000Z289,0P0001AMJJ,FS0000DAR3,STUSA05QOW,STUSA05QOW,46648M250,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.98,0.99,
JNL/Invesco Diversified Dividend I,US Dollar,,US46648M2439,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Jackson National,Jackson National,9/25/2017,Peter Santoro;Robert Botard;Christopher McMeans;Caroline Le Feuvre;,[2017-09-25 -- 2021-06-30] Meggan M. Walsh;[2021-03-24 -- ] Peter Santoro;[2017-09-25 -- ] Robert Botard;[2017-09-25 -- 2020-06-29] Kristina Bradshaw;[2017-09-25 -- ] Christopher McMeans;[2020-06-29 -- ] Caroline Le Feuvre;,Peter Santoro [$0 - None];Robert Botard [$0 - None];Christopher McMeans [$0 - None];Caroline Le Feuvre [$0 - None];,4.17,2.6,MSCI USA Value GR USD,XIUSA04FKP,12/31/1997,11/5/2021,"878,860,409.00",11/5/2021,"1,052,940,266.00",Yes,Yes,10/31/2021,0,10/29/2019,0.24,,10/29/2019,0.06,9/30/2021,11/5/2021,13.82,,,,,,,0.68,,,0.68,Equity-Income,12/31/2020,9,F00000Z28A,0P0001AMJK,FS0000DAR3,STUSA05QOW,STUSA05QOW,46648M243,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.68,0.69,
JNL/Mellon Dow Index I,US Dollar,,US46649U6165,Equity,US Equity Large Cap Value,US Fund Large Value,Giant Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,Jackson National,Jackson National,9/25/2017,Marlene Walker-Smith;David France;Todd Frysinger;Vlasta Sheremeta;Michael Stoll;,[1999-08-17 -- 2005-02-28] Management Team;[2006-05-01 -- 2008-03-31] Susan M. Ellison;[2010-05-01 -- 2021-06-30] Thomas J. Durante;[2004-12-31 -- 2020-10-26] Richard A. Brown;[2004-12-31 -- 2020-10-26] Karen Q. Wong;[2020-10-26 -- ] Marlene Walker-Smith;[2020-10-26 -- ] David France;[2020-10-26 -- ] Todd Frysinger;[2020-10-26 -- ] Vlasta Sheremeta;[2020-10-26 -- ] Michael Stoll;,Marlene Walker-Smith [$0 - None];David France [$0 - None];Todd Frysinger [$0 - None];Vlasta Sheremeta [$0 - None];Michael Stoll [$0 - None];,1.08,1.08,DJ Industrial Average TR USD,XIUSA000PF,9/30/1987,11/5/2021,"22,502,825.00",11/5/2021,"1,441,429,136.00",Yes,No,10/31/2021,0,,,,,,9/30/2021,11/5/2021,43.78,,,,,,,0.3,,,0.35,Growth and Income,12/31/2020,36,F00000Z1XO,0P0001AM6R,FSUSA00COH,STUSA05OME,STUSA05OME,46649U616,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.3,0.3,
JPMorgan Equity Income R2,US Dollar,OIEFX,US4812C23207,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,2/28/2011,Clare A. Hart;David Silberman;Andrew Brandon;,[1989-01-01 -- 1989-12-29] Richard R. Jandrain;[1987-07-02 -- 1993-07-01] Ralph F. Patek;[1992-01-01 -- 2001-05-29] Christine Burnett;[1989-12-29 -- 2005-02-19] R. Lynn Yturri;[1996-07-01 -- 1998-03-09] Barbara Walchli;[2004-08-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-08-01 -- ] Clare A. Hart;[2019-11-01 -- ] David Silberman;[2019-11-01 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.25,7.08,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"78,666,951.00",11/5/2021,"50,823,072,222.00",No,No,10/31/2021,1.04,10/27/2021,0.01,,12/12/2019,0.19,9/30/2021,11/5/2021,23.55,,,,,,,1.22,,,1.22,Equity-Income,6/30/2021,16,F00000LOVZ,0P0000S1NN,FSUSA0017H,STUSA05178,STUSA05178,4812C2320,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.22,1.22,
JPMorgan Equity Income R3,US Dollar,OIEPX,US4812C21227,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,9/9/2016,Clare A. Hart;David Silberman;Andrew Brandon;,[1989-01-01 -- 1989-12-29] Richard R. Jandrain;[1987-07-02 -- 1993-07-01] Ralph F. Patek;[1992-01-01 -- 2001-05-29] Christine Burnett;[1989-12-29 -- 2005-02-19] R. Lynn Yturri;[1996-07-01 -- 1998-03-09] Barbara Walchli;[2004-08-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-08-01 -- ] Clare A. Hart;[2019-11-01 -- ] David Silberman;[2019-11-01 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.25,7.08,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"296,912,034.00",11/5/2021,"50,823,072,222.00",No,No,10/31/2021,1.28,10/27/2021,0.01,,12/12/2019,0.19,9/30/2021,11/5/2021,23.65,,,,,,,0.95,,,0.96,Equity-Income,6/30/2021,16,F00000XI04,0P00018CV1,FSUSA0017H,STUSA05178,STUSA05178,4812C2122,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.95,0.96,
JPMorgan Equity Income R4,US Dollar,OIEQX,US4812C21144,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,9/9/2016,Clare A. Hart;David Silberman;Andrew Brandon;,[1989-01-01 -- 1989-12-29] Richard R. Jandrain;[1987-07-02 -- 1993-07-01] Ralph F. Patek;[1992-01-01 -- 2001-05-29] Christine Burnett;[1989-12-29 -- 2005-02-19] R. Lynn Yturri;[1996-07-01 -- 1998-03-09] Barbara Walchli;[2004-08-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-08-01 -- ] Clare A. Hart;[2019-11-01 -- ] David Silberman;[2019-11-01 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.25,7.08,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"232,266,599.00",11/5/2021,"50,823,072,222.00",No,No,10/31/2021,1.48,10/27/2021,0.02,,12/12/2019,0.19,9/30/2021,11/5/2021,24.1,,,,,,,0.7,,,0.7,Equity-Income,6/30/2021,16,F00000XI06,0P00018CV2,FSUSA0017H,STUSA05178,STUSA05178,4812C2114,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.7,0.7,
JPMorgan Equity Income R5,US Dollar,OIERX,US4812C23124,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,5,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,2/28/2011,Clare A. Hart;David Silberman;Andrew Brandon;,[1989-01-01 -- 1989-12-29] Richard R. Jandrain;[1987-07-02 -- 1993-07-01] Ralph F. Patek;[1992-01-01 -- 2001-05-29] Christine Burnett;[1989-12-29 -- 2005-02-19] R. Lynn Yturri;[1996-07-01 -- 1998-03-09] Barbara Walchli;[2004-08-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-08-01 -- ] Clare A. Hart;[2019-11-01 -- ] David Silberman;[2019-11-01 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.25,7.08,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"1,699,052,357.00",11/5/2021,"50,823,072,222.00",Yes,No,10/31/2021,1.61,10/27/2021,0.02,,12/12/2019,0.19,9/30/2021,11/5/2021,24.14,,,,,,,0.55,,,0.56,Equity-Income,6/30/2021,16,F00000LOW0,0P0000S1NO,FSUSA0017H,STUSA05178,STUSA05178,4812C2312,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.55,0.56,
JPMorgan Equity Income R6,US Dollar,OIEJX,US46636U8760,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,1/31/2012,Clare A. Hart;David Silberman;Andrew Brandon;,[1989-01-01 -- 1989-12-29] Richard R. Jandrain;[1987-07-02 -- 1993-07-01] Ralph F. Patek;[1992-01-01 -- 2001-05-29] Christine Burnett;[1989-12-29 -- 2005-02-19] R. Lynn Yturri;[1996-07-01 -- 1998-03-09] Barbara Walchli;[2004-08-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-08-01 -- ] Clare A. Hart;[2019-11-01 -- ] David Silberman;[2019-11-01 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.25,7.08,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"22,398,801,551.00",11/5/2021,"50,823,072,222.00",Yes,No,10/31/2021,1.7,10/27/2021,0.02,,12/12/2019,0.19,9/30/2021,11/5/2021,24.12,,,,,,,0.45,,,0.46,Equity-Income,6/30/2021,16,F00000ND9A,0P0000UP6J,FSUSA0017H,STUSA05178,STUSA05178,46636U876,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.45,0.46,
JPMorgan Large Cap Value R3,US Dollar,OLVTX,US4812CA6110,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,10/1/2018,Scott Blasdell,[1991-03-01 -- 2003-06-01] Richard R. Jandrain;[1991-03-01 -- 1996-11-01] Mark J. Pellegrino;[1996-11-01 -- 1998-03-09] Edmund M Cowart;[1995-04-01 -- 2003-06-01] Kathy Cole;[1995-01-01 -- 2003-06-01] Bill Turner;[1999-08-01 -- 2003-06-01] Mark Stickle;[1995-03-01 -- 2001-05-29] Brad Erwin;[1999-09-01 -- 2003-06-01] Scott Murray;[1999-01-01 -- 2003-06-01] Joseph Basset;[1996-02-01 -- 2001-05-29] Richard A. Giesen;[1997-01-01 -- 2003-06-01] Larry Tedeschi;[2004-09-01 -- 2008-06-29] Bradford L. Frishberg;[2001-05-29 -- 2003-06-01] David R. Snyder;[2013-04-04 -- ] Scott Blasdell;[2011-03-23 -- 2014-11-01] Aryeh Glatter;[2003-06-01 -- 2005-02-19] William Dierker;[2004-09-01 -- 2012-08-01] Alan Gutmann;[2009-01-27 -- 2011-10-21] Kelly Miller;,Scott Blasdell [NA - FC Inconsistent],8.58,8.58,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"103,897.00",11/5/2021,"3,268,829,190.00",No,No,10/31/2021,0.61,9/28/2021,0.07,,12/12/2018,0.91,9/30/2021,11/5/2021,20.5,,,,,,,0.94,,,1.04,Growth,6/30/2021,93,F000010V27,0P0001E2IL,FSUSA0017D,STUSA04AOS,STUSA04AOS,4812CA611,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.94,0.94,
JPMorgan Large Cap Value R4,US Dollar,OLVRX,US4812CA5955,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,2,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,10/1/2018,Scott Blasdell,[1991-03-01 -- 2003-06-01] Richard R. Jandrain;[1991-03-01 -- 1996-11-01] Mark J. Pellegrino;[1996-11-01 -- 1998-03-09] Edmund M Cowart;[1995-04-01 -- 2003-06-01] Kathy Cole;[1995-01-01 -- 2003-06-01] Bill Turner;[1999-08-01 -- 2003-06-01] Mark Stickle;[1995-03-01 -- 2001-05-29] Brad Erwin;[1999-09-01 -- 2003-06-01] Scott Murray;[1999-01-01 -- 2003-06-01] Joseph Basset;[1996-02-01 -- 2001-05-29] Richard A. Giesen;[1997-01-01 -- 2003-06-01] Larry Tedeschi;[2004-09-01 -- 2008-06-29] Bradford L. Frishberg;[2001-05-29 -- 2003-06-01] David R. Snyder;[2013-04-04 -- ] Scott Blasdell;[2011-03-23 -- 2014-11-01] Aryeh Glatter;[2003-06-01 -- 2005-02-19] William Dierker;[2004-09-01 -- 2012-08-01] Alan Gutmann;[2009-01-27 -- 2011-10-21] Kelly Miller;,Scott Blasdell [NA - FC Inconsistent],8.58,8.58,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"189,136.00",11/5/2021,"3,268,829,190.00",No,No,10/31/2021,0.93,9/28/2021,0.06,,12/12/2018,0.91,9/30/2021,11/5/2021,20.94,,,,,,,0.69,,,0.76,Growth,6/30/2021,93,F000010V26,0P0001E2IK,FSUSA0017D,STUSA04AOS,STUSA04AOS,4812CA595,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.69,0.69,
JPMorgan US Value R2,US Dollar,VGRTX,US46641U5561,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,11/2/2015,Clare A. Hart;David Silberman;Andrew Brandon;,[1997-07-28 -- 1999-08-13] Diane L. Sobin;[1991-09-01 -- 1995-03-17] Mark A. Tincher;[1991-05-01 -- 1991-09-01] Kathleen T. Millard;[1987-09-23 -- 1991-05-01] James Manley;[1995-03-01 -- 1999-08-13] Gregory S. Adams;[1995-03-01 -- 1999-02-26] David Klassen;[1999-08-13 -- 2002-01-01] Robert Heintz;[1999-08-13 -- 2002-01-01] Steve O'Keefe;[2002-01-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-03-01 -- ] Clare A. Hart;[2002-10-31 -- 2005-02-19] Michael L. Foss;[2019-11-01 -- ] David Silberman;[2019-02-12 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.67,7.47,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"2,543,976.00",11/5/2021,"1,768,371,943.00",No,No,10/31/2021,0.77,9/28/2021,0.18,,12/11/2020,0.64,9/30/2021,11/5/2021,68.72,,,,,,,1.18,,,1.25,Growth and Income,6/30/2021,14,F00000W9GL,0P00016MGY,FSUSA002S6,STUSA07HZ9,STUSA07HZ9,46641U556,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.18,1.19,
JPMorgan US Value R3,US Dollar,JGAVX,US48123X6031,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,7/31/2017,Clare A. Hart;David Silberman;Andrew Brandon;,[1997-07-28 -- 1999-08-13] Diane L. Sobin;[1991-09-01 -- 1995-03-17] Mark A. Tincher;[1991-05-01 -- 1991-09-01] Kathleen T. Millard;[1987-09-23 -- 1991-05-01] James Manley;[1995-03-01 -- 1999-08-13] Gregory S. Adams;[1995-03-01 -- 1999-02-26] David Klassen;[1999-08-13 -- 2002-01-01] Robert Heintz;[1999-08-13 -- 2002-01-01] Steve O'Keefe;[2002-01-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-03-01 -- ] Clare A. Hart;[2002-10-31 -- 2005-02-19] Michael L. Foss;[2019-11-01 -- ] David Silberman;[2019-02-12 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.67,7.47,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"5,061,756.00",11/5/2021,"1,768,371,943.00",No,No,10/31/2021,0.96,9/28/2021,0.24,,12/11/2020,0.64,9/30/2021,11/5/2021,72.64,,,,,,,0.94,,,1.01,Growth and Income,6/30/2021,14,F00000YYDP,0P0001AGYI,FSUSA002S6,STUSA07HZ9,STUSA07HZ9,48123X603,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.94,0.94,
JPMorgan US Value R4,US Dollar,JGRUX,US48123X7021,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,7/31/2017,Clare A. Hart;David Silberman;Andrew Brandon;,[1997-07-28 -- 1999-08-13] Diane L. Sobin;[1991-09-01 -- 1995-03-17] Mark A. Tincher;[1991-05-01 -- 1991-09-01] Kathleen T. Millard;[1987-09-23 -- 1991-05-01] James Manley;[1995-03-01 -- 1999-08-13] Gregory S. Adams;[1995-03-01 -- 1999-02-26] David Klassen;[1999-08-13 -- 2002-01-01] Robert Heintz;[1999-08-13 -- 2002-01-01] Steve O'Keefe;[2002-01-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-03-01 -- ] Clare A. Hart;[2002-10-31 -- 2005-02-19] Michael L. Foss;[2019-11-01 -- ] David Silberman;[2019-02-12 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.67,7.47,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"305,674.00",11/5/2021,"1,768,371,943.00",No,No,10/31/2021,1.04,9/28/2021,0.27,,12/11/2020,0.64,9/30/2021,11/5/2021,72.88,,,,,,,0.68,,,0.76,Growth and Income,6/30/2021,14,F00000YYDQ,0P0001AGYJ,FSUSA002S6,STUSA07HZ9,STUSA07HZ9,48123X702,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.68,0.69,
JPMorgan US Value R5,US Dollar,VGIFX,US46641U5496,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,JPMorgan,JPMorgan,11/2/2015,Clare A. Hart;David Silberman;Andrew Brandon;,[1997-07-28 -- 1999-08-13] Diane L. Sobin;[1991-09-01 -- 1995-03-17] Mark A. Tincher;[1991-05-01 -- 1991-09-01] Kathleen T. Millard;[1987-09-23 -- 1991-05-01] James Manley;[1995-03-01 -- 1999-08-13] Gregory S. Adams;[1995-03-01 -- 1999-02-26] David Klassen;[1999-08-13 -- 2002-01-01] Robert Heintz;[1999-08-13 -- 2002-01-01] Steve O'Keefe;[2002-01-01 -- 2019-11-01] Jonathan K.L. Simon;[2004-03-01 -- ] Clare A. Hart;[2002-10-31 -- 2005-02-19] Michael L. Foss;[2019-11-01 -- ] David Silberman;[2019-02-12 -- ] Andrew Brandon;,Clare A. Hart [NA - FC Inconsistent];David Silberman [NA - FC Inconsistent];Andrew Brandon [NA - FC Inconsistent];,17.67,7.47,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"198,703.00",11/5/2021,"1,768,371,943.00",No,No,10/31/2021,1.21,9/28/2021,0.28,,12/11/2020,0.64,9/30/2021,11/5/2021,73.43,,,,,,,0.54,,,0.61,Growth and Income,6/30/2021,14,F00000W9GM,0P00016MGZ,FSUSA002S6,STUSA07HZ9,STUSA07HZ9,46641U549,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.54,0.54,
